id,UNIVERSE,SYMBOL
338,NIFTY 500,CSBBANK
339,NIFTY 500,CYIENT
340,NIFTY 500,DATAPATTNS
341,NIFTY 500,DCMSHRIRAM
342,NIFTY 500,DEEPAKFERT
343,NIFTY 500,EASEMYTRIP
344,NIFTY 500,ECLERX
345,NIFTY 500,EIDPARRY
346,NIFTY 500,EIHOTEL
347,NIFTY 500,ELGIEQUIP
348,NIFTY 500,EMAMILTD
349,NIFTY 500,ENDURANCE
350,NIFTY 500,ENGINERSIN
351,NIFTY 500,EPIGRAL
352,NIFTY 500,EPL
353,NIFTY 500,EQUITASBNK
354,NIFTY 500,ERIS
355,NIFTY 500,FDC
356,NIFTY 500,FINCABLES
357,NIFTY 500,FINEORG
358,NIFTY 500,FINPIPE
359,NIFTY 500,FIVESTAR
360,NIFTY 500,FSL
361,NIFTY 500,GAEL
362,NIFTY 500,GALAXYSURF
363,NIFTY 500,GESHIP
364,NIFTY 500,GICRE
365,NIFTY 500,GILLETTE
366,NIFTY 500,GLAXO
367,NIFTY 500,GLS
368,NIFTY 500,GMMPFAUDLR
369,NIFTY 500,GOCOLORS
370,NIFTY 500,GODFRYPHLP
371,NIFTY 500,GODREJIND
372,NIFTY 500,GPIL
373,NIFTY 500,GPPL
374,NIFTY 500,GRAPHITE
375,NIFTY 500,GRINDWELL
376,NIFTY 500,GRINFRA
377,NIFTY 500,GSFC
378,NIFTY 500,GSPL
379,NIFTY 500,GUJALKALI
380,NIFTY 500,HAPPSTMNDS
381,NIFTY 500,HEG
382,NIFTY 500,HFCL
383,NIFTY 500,HINDZINC
384,NIFTY 500,HLEGLAS
385,NIFTY 500,HOMEFIRST
386,NIFTY 500,HONAUT
387,NIFTY 500,HUDCO
388,NIFTY 500,IBULHSGFIN
389,NIFTY 500,IDBI
390,NIFTY 500,IIFL
391,NIFTY 500,INDIGOPNTS
392,NIFTY 500,INFIBEAM
393,NIFTY 500,INGERRAND
394,NIFTY 500,INTELLECT
395,NIFTY 500,IOB
396,NIFTY 500,IRB
397,NIFTY 500,IRCON
398,NIFTY 500,ISEC
399,NIFTY 500,ITI
400,NIFTY 500,JAMNAAUTO
401,NIFTY 500,JBCHEPHARM
402,NIFTY 500,JBMA
403,NIFTY 500,JINDALSAW
404,NIFTY 500,JKLAKSHMI
405,NIFTY 500,JKPAPER
406,NIFTY 500,JMFINANCIL
407,NIFTY 500,JSL
408,NIFTY 500,JUBLINGREA
409,NIFTY 500,JUBLPHARMA
410,NIFTY 500,JUSTDIAL
411,NIFTY 500,JYOTHYLAB
412,NIFTY 500,KAJARIACER
413,NIFTY 500,KALYANKJIL
414,NIFTY 500,KANSAINER
415,NIFTY 500,KARURVYSYA
416,NIFTY 500,KAYNES
417,NIFTY 500,KEC
418,NIFTY 500,KEI
419,NIFTY 500,KFINTECH
420,NIFTY 500,KIMS
421,NIFTY 500,KNRCON
422,NIFTY 500,KPIL
423,NIFTY 500,KPRMILL
424,NIFTY 500,KRBL
425,NIFTY 500,KSB
426,NIFTY 500,LATENTVIEW
427,NIFTY 500,LAXMIMACH
428,NIFTY 500,LEMONTREE
429,NIFTY 500,LINDEINDIA
430,NIFTY 500,LUXIND
431,NIFTY 500,LXCHEM
432,NIFTY 500,MAHABANK
433,NIFTY 500,MAHLIFE
434,NIFTY 500,MANYAVAR
435,NIFTY 500,MAPMYINDIA
436,NIFTY 500,MASTEK
437,NIFTY 500,MEDANTA
438,NIFTY 500,MEDPLUS
439,NIFTY 500,METROBRAND
440,NIFTY 500,MHRIL
441,NIFTY 500,MINDACORP
442,NIFTY 500,MMTC
443,NIFTY 500,MOTILALOFS
444,NIFTY 500,MRPL
445,NIFTY 500,MTARTECH
446,NIFTY 500,NAM-INDIA
447,NIFTY 500,NATCOPHARM
448,NIFTY 500,NAZARA
449,NIFTY 500,NBCC
450,NIFTY 500,NCC
451,NIFTY 500,NETWORK18
452,NIFTY 500,NH
453,NIFTY 500,NIACL
454,NIFTY 500,NLCINDIA
455,NIFTY 500,NSLNISP
456,NIFTY 500,NUVOCO
457,NIFTY 500,OLECTRA
458,NIFTY 500,ORIENTELEC
459,NIFTY 500,PCBL
460,NIFTY 500,PFIZER
461,NIFTY 500,PGHL
462,NIFTY 500,PHOENIXLTD
463,NIFTY 500,PNBHOUSING
464,NIFTY 500,PNCINFRA
465,NIFTY 500,POLYMED
466,NIFTY 500,POLYPLEX
467,NIFTY 500,POWERINDIA
468,NIFTY 500,PPLPHARMA
469,NIFTY 500,PRAJIND
470,NIFTY 500,PRINCEPIPE
471,NIFTY 500,PRSMJOHNSN
472,NIFTY 500,QUESS
473,NIFTY 500,RADICO
474,NIFTY 500,RAIN
475,NIFTY 500,RAINBOW
476,NIFTY 500,RAJESHEXPO
477,NIFTY 500,RALLIS
478,NIFTY 500,RATNAMANI
479,NIFTY 500,RAYMOND
480,NIFTY 500,RBA
481,NIFTY 500,RCF
482,NIFTY 500,REDINGTON
483,NIFTY 500,RELAXO
484,NIFTY 500,RENUKA
485,NIFTY 500,RHIM
486,NIFTY 500,RITES
487,NIFTY 500,ROSSARI
488,NIFTY 500,ROUTE
489,NIFTY 500,RTNINDIA
490,NIFTY 500,SAFARI
491,NIFTY 500,SANOFI
492,NIFTY 500,SAPPHIRE
493,NIFTY 500,SAREGAMA
494,NIFTY 500,SCHAEFFLER
495,NIFTY 500,SFL
496,NIFTY 500,SHARDACROP
497,NIFTY 500,SHOPERSTOP
498,NIFTY 500,SHYAMMETL
499,NIFTY 500,SJVN
500,NIFTY 500,SKFINDIA
501,NIFTY 500,SOBHA
502,NIFTY 500,SOLARINDS
503,NIFTY 500,SONATSOFTW
504,NIFTY 500,SPARC
505,NIFTY 500,STARHEALTH
506,NIFTY 500,STLTECH
507,NIFTY 500,SUMICHEM
508,NIFTY 500,SUNDARMFIN
509,NIFTY 500,SUNDRMFAST
510,NIFTY 500,SUNTECK
511,NIFTY 500,SUPRAJIT
512,NIFTY 500,SUPREMEIND
513,NIFTY 500,SUVENPHAR
514,NIFTY 500,SWANENERGY
515,NIFTY 500,SWSOLAR
516,NIFTY 500,SYMPHONY
517,NIFTY 500,SYRMA
518,NIFTY 500,TANLA
519,NIFTY 500,TATAINVEST
520,NIFTY 500,TEAMLEASE
521,NIFTY 500,TEJASNET
522,NIFTY 500,THERMAX
523,NIFTY 500,TIMKEN
524,NIFTY 500,TRIDENT
525,NIFTY 500,TRITURBINE
526,NIFTY 500,TRIVENI
527,NIFTY 500,TTKPRESTIG
528,NIFTY 500,TTML
529,NIFTY 500,TV18BRDCST
530,NIFTY 500,UCOBANK
531,NIFTY 500,UJJIVANSFB
532,NIFTY 500,UNOMINDA
533,NIFTY 500,USHAMART
